ingredient,side_effects
lingonberry,Lingonberry concentrate is  POSSIBLY SAFE  when taken by  mouth  appropriately. A drink containing cranberry and lingonberry concentrate has been used safely for up to 6 months.    It’s  LIKELY UNSAFE  to use lingonberry leaves long-term. The leaves contain chemical. There isn't enough information to know if lingonberry leaves are safe for short-term use. It can cause some side effects including  nausea and vomiting .    There is a concern that the chemicals in lingonberry that can kill bacteria in the urine can also cause  liver  damage and  cancer .     
lipase,"Lipase seems to be safe for most people. It can cause some side effects such as  nausea , cramping, and  diarrhea .  "
lithium,"Lithium seems to be safe for most people when taken appropriately with careful monitoring by a healthcare provider. Lithium carbonate and lithium citrate have been approved by the U.S. Food and Drug Administration (FDA). But not enough is known about the safety of lithium orotate. Avoid using lithium orotate until more is known.    Lithium can cause nausea, diarrhea, dizziness, muscle weakness, fatigue, and a dazed feeling. These unwanted side effects often improve with continued use. Fine tremor,  frequent urination , and thirst can occur and may persist with continued use. Weight gain and swelling from excess fluid can also occur. Lithium can also cause or make skin disorders such as acne, psoriasis, and rashes worse. The amount of lithium in the body must be carefully controlled and is checked by blood tests.  "
liver-extract,"There isn't enough information to know if liver extract is safe. Since some preparations of liver extract come from animals, there is concern about possible contamination from diseased animals. However, so far there are no reports of diseases in humans that were caused by ingestion of contaminated liver.     "
liverwort,"Fresh liverwort is  LIKELY UNSAFE  when taken by mouth or applied to the skin. It can cause many side effects such as  diarrhea , stomach irritation, and  kidney  and urinary tract irritation when taken by mouth. When applied directly to the skin, fresh liverwort can cause irritation,  itching , and pus-filled  blisters .    It isn’t known if dried liverwort is safe or what the side effects might be.     "
lobelia,"Lobelia is considered  LIKELY UNSAFE  for most people when taken by mouth. Side effects include nausea, vomiting, diarrhea, cough, dizziness, tremors, and more serious effects.    Overdose may cause many serious toxic effects including sweating, convulsions, fast heartbeat, very  low blood pressure , collapse, coma, and possibly death. Taking 0.6-1 gram of the leaf is said to be toxic, and 4 grams may be fatal.    Not enough is known about the safety of applying lobelia to the skin.      "
logwood,It isn’t known if logwood is safe or what the possible side effects might be.  
loosestrife,There isn't enough information to know if loosestrife is safe or what the possible side effects might be.  
lorenzos-oil,Lorenzo’s oil seems to be safe when used under the care of health professionals. Side effects of Lorenzo’s oil can include bruising and bleeding.  
lotus,There is not enough known about lotus to know if it is safe.     
lousewort,It isn't known if lousewort is safe or what the possible side effects might be.  
lovage,"Lovage is  POSSIBLY SAFE  for most people. It might increase sensitivity to the sun, especially with long-term use. This might put you at greater risk for  rashes  from the sun, sunburns, and  skin cancer . Wear sunblock and protective clothing outside, especially if you are light-skinned.  "
l-tryptophan,"L-tryptophan is  POSSIBLY UNSAFE  when taken by mouth as a medicine. It has been linked to over 1500 reports of eosinophilia-myalgia syndrome (EMS) and 37 deaths. EMS is a neurological condition with symptoms that include fatigue; intense muscle pain; nerve pain; skin changes; baldness; rash; and pain and swelling affecting the joints, connective tissue, lungs, heart, and liver. Symptoms tend to improve over time, but some people may still experience symptoms up to 2 years after they develop EMS. Some people report that their symptoms have never gone away completely.   

In 1990, L-tryptophan was recalled from the market due to these safety concerns. After the limitation of L-tryptophan products, the number of EMS cases dropped sharply. The exact cause of EMS in patients taking L-tryptophan is unknown, but some evidence suggests it may be due to contaminated L-tryptophan products. About 95% of all EMS cases were traced to L-tryptophan produced by a single manufacturer in Japan. Currently, under the Dietary Supplement Health and Education Act (DSHEA) of 1994, L-tryptophan is available and marketed as a dietary supplement.   

L-tryptophan can cause some side effects such as heartburn, stomach pain, belching and gas, nausea, vomiting, diarrhea, and loss of appetite. It can also cause headache, lightheadedness, drowsiness, dry mouth, visual blurring, muscle weakness, and sexual problems.

 "
luffa,"Luffa is  LIKELY SAFE  for most people when applied directly to the skin as a sponge. However, the safety of using luffa charcoal for shingles is unknown. Luffa is  POSSIBLY SAFE  when taken by  mouth  in food amounts. But there isn't enough information to know if luffa is safe when taken as medicine. The possible side effects of luffa are unknown.     "
lungmoss,It isn’t known if lungmoss is safe or what the possible side effects might be.  
lungwort,It is not known if lungwort is safe or what the potential side effects might be.  
lutein,Lutein is  LIKELY SAFE  when taken by mouth appropriately. Consuming 6.9-11.7 mg/day of lutein as part of the diet appears to be safe. Lutein supplements have been used safely in studies in doses up to 15 mg daily for up to 2 years.     
lychee,"It isn't known if lychee is safe. In some people, lychee might cause allergic reactions.  "
lycopene,"Lycopene is  LIKELY SAFE  when taken by mouth in appropriate amounts. Daily supplements containing up to 120 mg of lycopene have been used safely for up to one year.   
 "
lysine,"Lysine is  POSSIBLY SAFE  for most people when taken by mouth at recommended doses for up to one year, or when applied to the skin short-term. It can cause side effects such as  stomach  pain and  diarrhea .  "
maca,Maca is  LIKELY SAFE  for most people when taken in amounts found in foods. Maca is  POSSIBLY SAFE  when taken by mouth in larger amounts as medicine (up to 3 grams daily) for up to 4 months. Maca seems to be well tolerated by most people.  
macadamia-nut,"Macadamia nuts are safe as food, and they seem to be safe as medicine for most people. They can cause an  allergy , but this is rare.  "
mace,"Mace is  POSSIBLY SAFE 
when taken by mouth and used appropriately. Mace is a commonly used spice in foods.   

Mace is  POSSIBLY UNSAFE  when taken in doses larger than amounts found in foods. Mace contains the chemical myristicin which has been linked to hallucinations and other mental side effects. People who have taken larger doses of nutmeg have experienced nausea, dry mouth, dizziness, irregular heartbeat, agitation and hallucinations. Because mace also contains myristicin, in theory, it might cause these same side effects.   

There is not enough reliable information available to know if mace is safe to apply on the skin or what the side effects might be.  
 "
madagascar-periwinkle,"Madagascar periwinkle is  UNSAFE  when taken by mouth due to the presence of poisonous chemicals known as vinca alkaloids. Madagascar periwinkle can cause side effects such as  nausea , vomiting,  hair loss ,  hearing loss ,  dizziness , bleeding, nerve problems,  seizures ,  liver  damage,  low blood sugar , and even death.    There isn't enough information to know if it is safe for use on the skin.  "
